"PI_aux","PI_bar_aux","rhoI_aux","tempI_aux","P_rel_aux","vel_rel_aux","Omega_aux","Aint_aux","ht_liq_aux","ht_gas_aux","EI_liq_aux","EI_gas_aux","beta_aux","beta_max_aux","jump_grad_alpha_smooth_aux_l","mu_aux_l","mu_max_aux_l","kappa_aux_l","kappa_max_aux_l","jump_grad_press_aux_l","jump_grad_alpha_aux_l","jump_grad_dens_aux_l","jump_grad_press_smooth_aux_l","jump_grad_dens_smooth_aux_l","mu_aux_g","kappa_aux_g","mu_max_aux_g","kappa_max_aux_g","jump_grad_press_aux_g","jump_grad_dens_aux_g","jump_grad_press_smooth_aux_g","jump_grad_dens_smooth_aux_g","ObjectId","GlobalElementId","PedigreeElementId"
610199,610481,8.45398,14435.7,2.12334,3.23552e+06,0,10000,0,0,118712,60968.8,0.144523,0.144523,0.00644765,0.60981,0.144476,0.60981,0.60981,82357.4,0.00648871,0.286306,82295.2,0.285262,1.24852,1.24852,0.144911,1.24852,82300.5,0.0604712,82238.1,0.0603626,0,200,200
604070,604344,8.42472,14340.4,2.13847,3.20854e+06,0,10000,0,0,118411,61049.3,0.147361,0.147361,0.00717246,0.61111,0.147315,0.61111,0.61111,85519,0.00721294,0.308079,85467.4,0.30707,1.24979,1.24979,0.147743,1.24979,85462.2,0.0635967,85410.4,0.0634962,0,201,201
598112,598379,8.39608,14247.4,2.15343,3.18226e+06,0,10000,0,0,118127,61137.7,0.150144,0.150144,0.00791717,0.612387,0.150099,0.612387,0.612387,88641.7,0.00795705,0.330035,88600.5,0.329064,1.25103,1.25103,0.150519,1.25103,88585.2,0.0667139,88543.8,0.0666216,0,202,202
592332,592591,8.36811,14156.9,2.16818,3.15672e+06,0,10000,0,0,117861,61233.4,0.152867,0.152867,0.00867964,0.613641,0.152823,0.613641,0.613641,91706.8,0.00871886,0.352046,91676.1,0.351116,1.25225,1.25225,0.153234,1.25225,91650.9,0.0698046,91620.1,0.0697208,0,203,203
586735,586986,8.34084,14068.9,2.18271,3.13194e+06,0,10000,0,0,117611,61335.7,0.155526,0.155526,0.00945693,0.614867,0.155483,0.614867,0.614867,94691.3,0.00949539,0.373951,94671.5,0.373069,1.25344,1.25344,0.155885,1.25344,94636.4,0.0728468,94616.4,0.0727718,0,204,204
581328,581571,8.31433,13983.7,2.19697,3.10797e+06,0,10000,0,0,117379,61443.7,0.158116,0.158116,0.0102452,0.616066,0.158075,0.616066,0.616066,97568,0.0102827,0.395565,97559.5,0.394735,1.25459,1.25459,0.158466,1.25459,97514.3,0.075814,97505.7,0.0757487,0,205,205
576116,576351,8.28862,13901.4,2.21093,3.08481e+06,0,10000,0,0,117162,61556.5,0.160633,0.160633,0.0110395,0.617233,0.160593,0.617233,0.617233,100305,0.011076,0.416669,100309,0.415899,1.25572,1.25572,0.160973,1.25572,100253,0.078676,100256,0.0786212,0,206,206
571105,571331,8.26374,13821.9,2.22456,3.06251e+06,0,10000,0,0,116961,61673.3,0.163073,0.163073,0.0118339,0.618368,0.163034,0.618368,0.618368,102866,0.0118692,0.437019,102883,0.436317,1.25681,1.25681,0.163402,1.25681,102817,0.0813984,102833,0.081355,0,207,207
566300,566516,8.23975,13745.5,2.23783,3.04109e+06,0,10000,0,0,116775,61793.2,0.16543,0.16543,0.0126214,0.619467,0.165393,0.619467,0.619467,105212,0.0126552,0.456341,105242,0.455718,1.25786,1.25786,0.165749,1.25786,105165,0.083943,105196,0.0839124,0,208,208
561705,561912,8.21667,13672.3,2.2507,3.02057e+06,0,10000,0,0,116605,61915.3,0.167702,0.167702,0.0133939,0.620529,0.167666,0.620529,0.620529,107298,0.0134259,0.47434,107344,0.473807,1.25887,1.25887,0.168009,1.25887,107255,0.0862685,107301,0.086252,0,209,209
