"alA_l","alpha_aux_l","alrhoA_g","alrhoA_l","alrhoEA_g","alrhoEA_l","alrhouA_g","alrhouA_l","area_aux","density_aux_g","density_aux_l","internal_energy_aux_g","internal_energy_aux_l","mach_aux_g","mach_aux_l","pressure_aux_g","pressure_aux_l","total_energy_aux_g","total_energy_aux_l","velocity_x_aux_g","velocity_x_aux_l","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
0.5,0.5,0.5,5,1.25e+06,250000,-2.26497e-12,-3.5477e-11,1,1,10,2.5e+06,500000,3.8285e-15,1.29544e-14,1e+06,1e+06,2.5e+06,500000,-4.52994e-12,-7.0954e-12,40,40,0.078,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-4.51894e-12,-3.33005e-11,1,1,10,2.5e+06,500000,7.6384e-15,1.21596e-14,1e+06,1e+06,2.5e+06,500000,-9.03787e-12,-6.6601e-12,41,41,0.08,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-1.73962e-12,-3.759e-11,1,1,10,2.5e+06,500000,2.9405e-15,1.37259e-14,1e+06,1e+06,2.5e+06,500000,-3.47925e-12,-7.51799e-12,42,42,0.082,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-5.49333e-12,-2.12157e-11,1,1,10,2.5e+06,500000,9.28543e-15,7.74688e-15,1e+06,1e+06,2.5e+06,500000,-1.09867e-11,-4.24314e-12,43,43,0.084,0,0
0.5,0.5,0.5,5,1.25e+06,250000,3.00074e-12,-1.66352e-11,1,1,10,2.5e+06,500000,5.07218e-15,6.07431e-15,1e+06,1e+06,2.5e+06,500000,6.00148e-12,-3.32704e-12,44,44,0.086,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-7.36177e-12,-1.63955e-11,1,1,10,2.5e+06,500000,1.24437e-14,5.98678e-15,1e+06,1e+06,2.5e+06,500000,-1.47235e-11,-3.27909e-12,45,45,0.088,0,0
0.5,0.5,0.5,5,1.25e+06,250000,5.38123e-12,-2.90292e-11,1,1,10,2.5e+06,500000,9.09594e-15,1.06e-14,1e+06,1e+06,2.5e+06,500000,1.07625e-11,-5.80584e-12,46,46,0.09,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-1.21982e-11,-1.9534e-11,1,1,10,2.5e+06,500000,2.06187e-14,7.1328e-15,1e+06,1e+06,2.5e+06,500000,-2.43964e-11,-3.9068e-12,47,47,0.092,0,0
0.5,0.5,0.5,5,1.25e+06,250000,8.63342e-12,-3.81539e-11,1,1,10,2.5e+06,500000,1.45931e-14,1.39318e-14,1e+06,1e+06,2.5e+06,500000,1.72668e-11,-7.63078e-12,48,48,0.094,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-1.78265e-11,-2.17761e-11,1,1,10,2.5e+06,500000,3.01323e-14,7.95151e-15,1e+06,1e+06,2.5e+06,500000,-3.5653e-11,-4.35522e-12,49,49,0.096,0,0
0.5,0.5,0.5,5,1.25e+06,250000,1.45962e-11,-3.66616e-11,1,1,10,2.5e+06,500000,2.46722e-14,1.33869e-14,1e+06,1e+06,2.5e+06,500000,2.91925e-11,-7.33232e-12,50,50,0.098,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-2.07209e-11,-8.79403e-13,1,1,10,2.5e+06,500000,3.50247e-14,3.21113e-16,1e+06,1e+06,2.5e+06,500000,-4.14418e-11,-1.75881e-13,51,51,0.1,0,0
0.5,0.5,0.5,5,1.25e+06,250000,2.23643e-11,-4.60245e-12,1,1,10,2.5e+06,500000,3.78026e-14,1.68058e-15,1e+06,1e+06,2.5e+06,500000,4.47287e-11,-9.2049e-13,52,52,0.102,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-1.91626e-11,4.82607e-11,1,1,10,2.5e+06,500000,3.23907e-14,1.76223e-14,1e+06,1e+06,2.5e+06,500000,-3.83252e-11,9.65215e-12,53,53,0.104,0,0
0.5,0.5,0.5,5,1.25e+06,250000,2.74615e-11,2.53464e-11,1,1,10,2.5e+06,500000,4.64183e-14,9.2552e-15,1e+06,1e+06,2.5e+06,500000,5.49229e-11,5.06928e-12,54,54,0.106,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-1.47587e-11,9.86618e-11,1,1,10,2.5e+06,500000,2.49468e-14,3.60262e-14,1e+06,1e+06,2.5e+06,500000,-2.95175e-11,1.97324e-11,55,55,0.108,0,0
0.5,0.5,0.5,5,1.25e+06,250000,3.11522e-11,6.74213e-11,1,1,10,2.5e+06,500000,5.26569e-14,2.46188e-14,1e+06,1e+06,2.5e+06,500000,6.23044e-11,1.34843e-11,56,56,0.11,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-1.27005e-11,1.03298e-10,1,1,10,2.5e+06,500000,2.14678e-14,3.7719e-14,1e+06,1e+06,2.5e+06,500000,-2.54011e-11,2.06595e-11,57,57,0.112,0,0
0.5,0.5,0.5,5,1.25e+06,250000,3.11415e-11,7.90976e-11,1,1,10,2.5e+06,500000,5.26388e-14,2.88823e-14,1e+06,1e+06,2.5e+06,500000,6.2283e-11,1.58195e-11,58,58,0.114,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-1.27827e-11,1.08428e-10,1,1,10,2.5e+06,500000,2.16067e-14,3.95924e-14,1e+06,1e+06,2.5e+06,500000,-2.55654e-11,2.16857e-11,59,59,0.116,0,0
0.5,0.5,0.5,5,1.25e+06,250000,3.30882e-11,7.43809e-11,1,1,10,2.5e+06,500000,5.59293e-14,2.71601e-14,1e+06,1e+06,2.5e+06,500000,6.61764e-11,1.48762e-11,60,60,0.118,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-1.94958e-11,1.0271e-10,1,1,10,2.5e+06,500000,3.29539e-14,3.75045e-14,1e+06,1e+06,2.5e+06,500000,-3.89916e-11,2.0542e-11,61,61,0.12,0,0
0.5,0.5,0.5,5,1.25e+06,250000,3.94017e-11,4.56173e-11,1,1,10,2.5e+06,500000,6.6601e-14,1.66571e-14,1e+06,1e+06,2.5e+06,500000,7.88033e-11,9.12346e-12,62,62,0.122,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-3.44353e-11,5.83611e-11,1,1,10,2.5e+06,500000,5.82062e-14,2.13105e-14,1e+06,1e+06,2.5e+06,500000,-6.88705e-11,1.16722e-11,63,63,0.124,0,0
0.5,0.5,0.5,5,1.25e+06,250000,4.05044e-11,-2.1739e-11,1,1,10,2.5e+06,500000,6.8465e-14,7.93795e-15,1e+06,1e+06,2.5e+06,500000,8.10089e-11,-4.34779e-12,64,64,0.126,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-3.76682e-11,3.801e-11,1,1,10,2.5e+06,500000,6.36709e-14,1.38793e-14,1e+06,1e+06,2.5e+06,500000,-7.53364e-11,7.60201e-12,65,65,0.128,0,0
0.5,0.5,0.5,5,1.25e+06,250000,3.13363e-11,-2.89557e-11,1,1,10,2.5e+06,500000,5.2968e-14,1.05731e-14,1e+06,1e+06,2.5e+06,500000,6.26726e-11,-5.79113e-12,66,66,0.13,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-1.99937e-11,2.01637e-11,1,1,10,2.5e+06,500000,3.37956e-14,7.36274e-15,1e+06,1e+06,2.5e+06,500000,-3.99875e-11,4.03274e-12,67,67,0.132,0,0
0.5,0.5,0.5,5,1.25e+06,250000,6.45026e-12,5.96619e-12,1,1,10,2.5e+06,500000,1.09029e-14,2.17855e-15,1e+06,1e+06,2.5e+06,500000,1.29005e-11,1.19324e-12,68,68,0.134,0,0
0.5,0.5,0.5,5,1.25e+06,250000,1.25229e-11,3.09968e-11,1,1,10,2.5e+06,500000,2.11676e-14,1.13184e-14,1e+06,1e+06,2.5e+06,500000,2.50459e-11,6.19936e-12,69,69,0.136,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-1.31931e-11,7.61434e-11,1,1,10,2.5e+06,500000,2.23005e-14,2.78036e-14,1e+06,1e+06,2.5e+06,500000,-2.63863e-11,1.52287e-11,70,70,0.138,0,0
0.5,0.5,0.5,5,1.25e+06,250000,3.18275e-11,6.48027e-11,1,1,10,2.5e+06,500000,5.37983e-14,2.36626e-14,1e+06,1e+06,2.5e+06,500000,6.3655e-11,1.29605e-11,71,71,0.14,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-1.12281e-11,1.21484e-10,1,1,10,2.5e+06,500000,1.89789e-14,4.43597e-14,1e+06,1e+06,2.5e+06,500000,-2.24561e-11,2.42968e-11,72,72,0.142,0,0
0.5,0.5,0.5,5,1.25e+06,250000,2.52513e-11,1.03099e-10,1,1,10,2.5e+06,500000,4.26825e-14,3.76464e-14,1e+06,1e+06,2.5e+06,500000,5.05027e-11,2.06198e-11,73,73,0.144,0,0
0.5,0.5,0.5,5,1.25e+06,250000,6.46297e-12,1.00477e-10,1,1,10,2.5e+06,500000,1.09244e-14,3.66891e-14,1e+06,1e+06,2.5e+06,500000,1.29259e-11,2.00955e-11,74,74,0.146,0,0
0.5,0.5,0.5,5,1.25e+06,250000,3.35715e-12,9.20309e-11,1,1,10,2.5e+06,500000,5.67462e-15,3.36049e-14,1e+06,1e+06,2.5e+06,500000,6.7143e-12,1.84062e-11,75,75,0.148,0,0
0.5,0.5,0.5,5,1.25e+06,250000,1.91576e-11,4.85062e-11,1,1,10,2.5e+06,500000,3.23822e-14,1.7712e-14,1e+06,1e+06,2.5e+06,500000,3.83151e-11,9.70124e-12,76,76,0.15,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-1.03939e-11,6.91679e-11,1,1,10,2.5e+06,500000,1.75689e-14,2.52565e-14,1e+06,1e+06,2.5e+06,500000,-2.07878e-11,1.38336e-11,77,77,0.152,0,0
0.5,0.5,0.5,5,1.25e+06,250000,2.22447e-11,4.11617e-11,1,1,10,2.5e+06,500000,3.76005e-14,1.50301e-14,1e+06,1e+06,2.5e+06,500000,4.44895e-11,8.23235e-12,78,78,0.154,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-5.60679e-12,1.27213e-10,1,1,10,2.5e+06,500000,9.47721e-15,4.64515e-14,1e+06,1e+06,2.5e+06,500000,-1.12136e-11,2.54426e-11,79,79,0.156,0,0
0.5,0.5,0.5,5,1.25e+06,250000,4.01031e-11,2.03587e-10,1,1,10,2.5e+06,500000,6.77866e-14,7.43395e-14,1e+06,1e+06,2.5e+06,500000,8.02062e-11,4.07174e-11,80,80,0.158,0,0
0.5,0.5,0.5,5,1.25e+06,250000,3.22047e-11,4.00074e-10,1,1,10,2.5e+06,500000,5.44359e-14,1.46086e-13,1e+06,1e+06,2.5e+06,500000,6.44095e-11,8.00147e-11,81,81,0.16,0,0
0.5,0.5,0.5,5,1.25e+06,250000,6.22737e-11,7.194e-10,1,1,10,2.5e+06,500000,1.05262e-13,2.62688e-13,1e+06,1e+06,2.5e+06,500000,1.24547e-10,1.4388e-10,82,82,0.162,0,0
0.5,0.5,0.5,5,1.25e+06,250000,1.83361e-10,1.17877e-09,1,1,10,2.5e+06,500000,3.09937e-13,4.30426e-13,1e+06,1e+06,2.5e+06,500000,3.66723e-10,2.35754e-10,83,83,0.164,0,0
0.5,0.5,0.5,5,1.25e+06,250000,1.70357e-10,2.28137e-09,1,1,10,2.5e+06,500000,2.87957e-13,8.33038e-13,1e+06,1e+06,2.5e+06,500000,3.40715e-10,4.56274e-10,84,84,0.166,0,0
0.5,0.5,0.5,5,1.25e+06,250000,4.93066e-10,3.80447e-09,1,1,10,2.5e+06,500000,8.33434e-13,1.3892e-12,1e+06,1e+06,2.5e+06,500000,9.86132e-10,7.60894e-10,85,85,0.168,0,0
0.5,0.5,0.5,5,1.25e+06,250000,7.28637e-10,7.10048e-09,1,1,10,2.5e+06,500000,1.23162e-12,2.59273e-12,1e+06,1e+06,2.5e+06,500000,1.45727e-09,1.4201e-09,86,86,0.17,0,0
